,Term0,Term1,Term2,Term3,Term4,Term5,Term6,Term7,Term8,Term9
96,war,become,force,party,military,country,independence,army,government,january
97,police,man,anyone,appeal,attack,contact,men,witness,det,information
98,edinburgh,glasgow,farm,scotland,wind,aberdeen,farmers,aberdeenshire,los,angeles
99,thomas,mirror,reporter,ryan,adam,michelle,jordan,southampton,watson,chapel
100,list,estate,restore,lottery,scott,square,grant,hull,usher,grade
101,show,display,bell,feature,artist,famous,stone,world,century,exhibition
102,health,care,service,nhs,mental,nurse,england,need,provide,wait
103,catholic,spain,revolution,spanish,roman,charter,carter,zero,academies,colombia
104,president,government,protest,opposition,country,sheikh,accuse,political,violence,term
105,document,leak,file,information,company,overseas,reveal,wealth,slowdown,release
106,strike,action,union,members,staff,industrial,dispute,plan,work,mill
107,game,match,players,fan,football,play,team,pitch,coach,ebola
108,flood,storm,warn,weather,winter,rain,heavy,across,affect,december
109,car,road,drive,crash,cars,driver,vehicle,gmt,vehicles,hit
110,group,support,political,members,religious,leaders,lead,muslims,former,among
111,island,broadcast,islands,tv,channel,media,radio,british,television,cable
112,video,watch,clean,videos,pool,swim,youtube,show,cuba,jewellery
113,mayor,khan,champagne,blair,hopeful,georgia,nuisance,mayoral,harper,revisit
114,man,police,hospital,injuries,die,woman,incident,find,injure,scene
115,cumbria,check,complaint,duty,maximum,carlisle,stamp,mistake,coventry,error
116,hotel,gun,address,items,bottle,sarah,rifle,guests,patrick,find
117,trump,republican,donald,clinton,campaign,sanders,state,presidential,new,democratic
118,wine,george,single,ball,lithuania,discount,torture,norway,crackdown,winchester
119,us,president,obama,american,state,unite,america,visit,barack,white
120,court,sentence,hear,trial,jail,years,guilty,find,crown,charge
121,doctor,junior,contract,petition,junction,england,work,carriageway,gordon,del
122,word,write,view,language,english,become,mean,world,history,often
123,test,perform,academy,performance,orchestra,concert,recall,dumfries,donation,musicians
124,award,best,prize,win,dame,british,receive,honour,jack,category
125,plan,project,site,build,work,new,scheme,development,area,construction
126,hunt,tip,forum,loud,crack,partially,bang,dump,alison,rip
127,party,minister,parliament,leader,election,first,liberal,assembly,cabinet,seat
128,mother,baby,daughter,couple,wife,home,leave,birth,floor,sister
129,mark,world,new,celebrate,first,celebrations,day,around,anniversary,crowd
130,bill,law,state,laws,york,federal,legislation,new,pass,civil
131,region,australia,new,ethnic,australian,zealand,minority,resolutions,formula,gulf
132,land,fish,japan,agency,pollution,environment,difficulties,japanese,marine,environmental
133,ask,question,answer,hear,whether,wrong,exercise,hall,metropolitan,meet
134,vote,election,win,poll,party,elections,voters,may,whale,first
135,tweet,truck,cambridgeshire,dave,overcome,silence,infect,bug,stroke,nervous
136,culture,arts,creative,traditional,founder,spy,entrepreneurs,cultural,diversity,writers
137,eve,davies,editor,thoughts,nick,anthony,lucas,swing,denmark,friendly
138,bar,panel,customers,jersey,standard,customer,voluntary,terminal,regulate,launder
139,court,case,rule,legal,judge,justice,right,appeal,law,decision
140,dog,owner,owners,castle,pet,pup,oldest,douglas,chase,bull
141,contact,email,please,us,number,bbc,canada,journalist,ways,speak
142,station,bus,midnight,transport,lee,blast,underground,hour,kings,bone
143,scandal,corruption,protesters,brazil,interim,president,brazilian,engines,rousseff,reassurance
144,drug,cocaine,worth,recover,metal,heroin,brothers,hail,collect,furniture
145,ticket,user,purchase,till,smallest,unexpected,weibo,bournemouth,optimistic,usa
